Colony.ID,Date,Northing,Easting,DIST,PIC,DFPIC,TEMP,IRR,SIZE,DIS
22,3-May,2029703.99,322528.59,5.540225627,0,114.3920491,28.03895161,6.6421,110250,1
23,3-May,2029706.16,322533.9,5.736287998,0,114.3545089,28.03895161,6.6421,31200,0
24,3-May,2029709.53,322528.64,5.540225627,0,119.4533491,28.03895161,6.6421,34848,0
25,3-May,2029722.89,322520.31,5.927562737,0,106.4996413,28.03895161,6.6421,8424,0
26A,3-May,2029717.37,322518.15,1.00E-10,0,111.6734561,28.03895161,6.6421,208,0
26B,3-May,2029717.38,322517.09,1.060047169,0,111.537682,28.03895161,6.6421,2100,0
26C,3-May,2029717.37,322518.15,1.00E-10,0,111.6734561,28.03895161,6.6421,160,0
27,3-May,2029730.61,322523.55,3.938591119,1,99.44711559,28.03895161,6.6421,26730,0
28,3-May,2029733.91,322525.7,3.938591119,0,96.66275032,28.03895161,6.6421,10200,0
29,3-May,2029737.35,322511.99,6.340283905,0,91.15903685,28.03895161,6.6421,14256,0
030A,3-May,2029735.06,322520.42,3.056304959,0,94.50290683,28.03895161,6.6421,2548,0
030B,3-May,2029739.51,322518.35,2.220090088,0,89.7751792,28.03895161,6.6421,1859,0
030C,3-May,2029737.29,322518.33,2.220090088,0,91.96570883,28.03895161,6.6421,3750,0
31,3-May,2029755.02,322516.38,11.27079855,1,74.14909979,28.03895161,6.6421,88,0
32,3-May,2029766.07,322518.6,11.27079855,0,63.72901459,28.03895161,6.6421,297500,0
33,3-May,2029783.84,322512.42,9.179128499,0,45.07466029,28.03895161,6.6421,35000,0
34,3-May,2029793.69,322524.14,6.244621686,0,39.76308464,28.03895161,6.6421,756000,0
35,3-May,2029790.42,322518.82,6.244621686,0,40.43977497,28.03895161,6.6421,36480,0
36,3-May,2029833.76,322500.2,6.958002587,0,6.958002587,28.03895161,6.6421,13605,0
37,3-May,2029828.19,322504.37,6.958002587,1,154.2770035,28.03895161,6.6421,117000,0
38,3-May,2029862.56,322498.35,23.0239636,0,34.89322714,28.03895161,6.6421,82500,0
39,3-May,2029848.33,322480.25,23.0239636,0,31.4228261,28.03895161,6.6421,1949900,0
40,3-May,2029893.66,322485.95,33.48089007,0,68.01189087,28.03895161,6.6421,1638,0
41,3-May,2029946.87,322477.99,3.320135539,0,32.71429351,28.03895161,6.6421,48,0
42,3-May,2029950.19,322478.02,3.320135539,0,29.46413583,28.03895161,6.6421,572,0
43,3-May,2029979.02,322471.94,1.060047169,1,154.2770035,28.03895161,6.6421,27000,0
44,3-May,2029963.49,322476.03,13.4480519,1,16.05954545,28.03895161,6.6421,864,0
45,3-May,2029991.26,322465.71,1.050047618,0,13.73428193,28.03895161,6.6421,26460,0
46,3-May,2029979.01,322473,1.060047169,1,1.060047169,28.03895161,6.6421,31500,0
47,3-May,2029991.27,322464.66,1.050047618,0,14.24994386,28.03895161,6.6421,9520,0
48,3-May,2029995.63,322471.04,6.892445139,0,16.63436503,28.03895161,6.6421,4160,0
49A,3-May,2030002.4,322457.36,1.060047169,0,27.55359868,28.03895161,6.6421,5625,0
49B,3-May,2030002.39,322458.42,1.060047169,0,26.99902406,28.03895161,6.6421,7750,0
50,3-May,2029995.79,322454.13,6.968364227,0,24.46280851,28.03895161,6.6421,170000,0
51,3-May,2030004.66,322452.1,2.210090496,0,32.41967304,28.03895161,6.6421,5000,0
52,3-May,2030002.45,322452.08,2.120094338,0,30.71456495,28.03895161,6.6421,162000,0
53,3-May,2030006.9,322450,3.070439708,1,35.47757038,28.03895161,6.6421,94500,1
54,3-May,2030013.5,322454.29,4.764714052,0,38.73490545,28.03895161,6.6421,539484,0
55,3-May,2030002.47,322449.96,2.120094338,0,32.14067361,28.03895161,6.6421,43750,0
56,3-May,2030002.52,322444.68,5.280236737,0,35.99107667,28.03895161,6.6421,36750,0
57,3-May,2030014.69,322444.79,5.404960684,0,44.82712795,28.03895161,6.6421,1344,0
058A,3-May,2030015.75,322450.09,4.764714052,0,42.73775146,28.03895161,6.6421,22176,0
058B,3-May,2030004.78,322439.41,5.734152073,0,41.49431889,28.03895161,6.6421,11592,0
59,3-May,2030016.97,322438.47,6.718690349,0,50.6008241,28.03895161,6.6421,160,0
60,3-May,2030034.81,322423.84,23.07168178,0,73.66229768,28.03895161,6.6421,5000,0
1,3-Jul,2029536.37,322580.95,6.375578405,0,6.375578405,28.33801075,6.1765,15120,0
2,3-Jul,2029541.93,322577.83,1.050047618,1,40.20097138,28.33801075,6.1765,17280,0
3,3-Jul,2029541.94,322576.78,1.050047618,1,1.050047618,28.33801075,6.1765,68000,0
4A,3-Jul,2029581.83,322572.92,1.060047169,2,31.86562411,28.33801075,6.1765,292500,0
4B,3-Jul,2029580.72,322572.91,1.110045044,2,1.110045044,28.33801075,6.1765,3375,0
4C,3-Jul,2029579.62,322571.84,1.534568343,0,2.459776413,28.33801075,6.1765,375,0
5,3-Jul,2029599.52,322575.19,9.402260367,2,16.33796193,28.33801075,6.1765,94500,0
6,3-Jul,2029581.84,322571.86,1.060047169,1,1.060047169,28.33801075,6.1765,265200,1
7,3-Jul,2029608.4,322572.1,7.736284638,1,7.736284638,28.33801075,6.1765,11232,0
8,3-Jul,2029612.89,322565.8,7.736284638,1,31.86562411,28.33801075,6.1765,45150,0
9,3-Jul,2029622.85,322565.9,9.960501995,0,9.960501995,28.33801075,6.1765,44100,0
10,3-Jul,2029632.92,322554.36,5.376430042,0,23.06674013,28.33801075,6.1765,12600,0
